Title,Link,Date,Content,Key_Location,Location_Category
“분당이 찐 부자?” 서울 부동산 가장 많이 사들인 구매자는 어디?,https://magazine.hankyung.com/business/article/202410217912b,1일 전,"경기·인천 지역에서 서울 부동산을 가장 많이 사들인 구매자는 경기 성남시 분당구 거주자인 것으로 나타났다.직방은 대법원 등기정보광장 자료를 토대로 올해 서울 소재 집합건물(아파트·오피스텔·다세대주택)을 매수한 경기·인천 거주자 1만9343명을 조사한 결과 이같이 나타났다고 21일 밝혔다.이 조사에서 분당 거주자 1220명이 서울에 주택을 사들인 것으로 나타났으며 이어 경기 남양주시 거주자(1174명), 경기 고양시 덕양구 1062명, 하남시 902명, 화성시 877명, 부천시 871명, 김포시 869명 등의 순이었다.분당 거주자들은 강남권역을 주로 사들였다. 서울 송파구 소재 집합건물 매수자가 175명으로 가장 많았고, 강남구 174명, 서초구 139명 등이었다. 강동구 매수자도 105명이었다.직방은 “생활권을 크게 벗어나지 않는 지역을 선호하는 동시에 상급지 갈아타기 수요가 더해진 영향 탓”이라고 분석했다.남양주시 거주자들이 많이 매수한 지역은 강동구(146명), 성동구(139명), 중랑구(133명), 노원구(80명), 송파구(78명) 등 남양주시와 비교적 가까운 지역이었다.강동구의 경우 지난 8월 지하철 8호선 별내역 연장으로 남양주시와 접근성이 개선됐다.고양시 덕양구 거주자들의 매수 지역은 은평구(182명), 마포구(97명), 서대문구(91명), 강서구(85명) 순으로 많았다.이는 은평구 매수 비중이 높은 것은 마포구나 서대문구보다 상대적으로 가격 진입장벽이 높지 않아 서울 입성을 노리는 실수요자 매수가 몰렸기 때문으로 풀이된다.하남시와 화성시의 서울 주택 매수도 많은 편이다. 하남시 거주자도 지리적으로 가까운 강동구(283명), 송파구(155명)에 매수가 집중되는 특징을 보였다.화성시 거주자의 매수 지역은 송파구(90명), 서초구(70명), 강남구(67명) 순이었다. 화성시의 경우 동탄신도시 등 지역 아파트값이 회복세를 보이자 강남권역으로 갈아타기 수요가 발생한 것으로 보인다.직방은 “경기·인천 거주자들은 서울 집합건물 매수 시 지리적으로 인접한 지역 위주로 매수하는 것으로 보인다”며 “직장이나 학교 등 기존 생활권을 어느 정도 유지하면서 거주 지역에서 멀지 않은 곳으로 부동산을 매수하는 것”이라고 분석했다.정유진 기자 jinjin@hankyung.com",경기,서울 외
압구정 아파트도 5억 빠졌다…심상치 않은 상황에 '초긴장',https://www.hankyung.com/article/2024102200257,6시간 전,"부동산 시장이 약세장에 접어들자 강남 3구 아파트값도 하락세를 보이고 있다. 서울 반포 일대 아파트 모습. 연합뉴스부동산 상승기에 가장 많이 오르고, 하락기에는 가장 늦게까지 집값을 방어하는 지역으로 꼽히는 서울 강남 3구(강남·서초·송파구) 아파트 가격이 하락하고 있다. 일부 단지는 직전 거래가 대비 매맷값이 수억 원씩 떨어졌다.22일 국토교통부 실거래가 공개시스템에 따르면 지난달 30일 서울 강남구 압구정동 한양1차 전용면적 49㎡(1층)는 20억8000만 원에 거래됐다. 이는 직전 거래가(25억7000만 원·7층) 대비 23.5%(4억9000만 원) 하락한 금액이다.같은달 22일 강남구 도곡동 타워팰리스3차 전용 141㎡도 직전 거래(40억 원) 대비 12%(4억 8000만 원) 떨어진 35억2000만 원에 거래 신고됐다.하락 거래는 서초·송파구에도 속속 등장하고 있다. 지난달 30일 서초구 서초동 삼풍아파트 전용 130㎡는 32억5000만 원(1층)에 거래되며, 전달 실거래가(36억 원·9층) 대비 약 10%(3억 5000만 원) 하락했다. 이달 들어 송파구 가락동 헬리오시티 전용 84㎡(11층)는 23억3000만 원에 손바뀜해 지난 9월 기록한 최고가(24억3000만 원) 대비 1억 원이 빠졌다.전문가들은 연말까지 서울 아파트 매맷값이 급격하게 반등하기는 어려울 것으로 본다. 대출 규제 등의 여파로 거래가 위축된 가운데 매물은 계속 쌓이고 있기 때문이다. 지난 8월 서울 아파트 거래량(7609건)은 전월(9518건) 대비 20%(1909건) 급감하며 8개월 만에 감소세로 전환했다. 또 △강남구(1만6059건→1만6999건, 5.8% 증가) △서초구(1만 2459건→1만 2756건, 2.3%) △송파구(1만 1220건→1만 2014건, 7.0%) 모두 한 달 전과 비교해 매물이 증가했다.송종현 기자",강남구,서울
"검찰, LS증권·현대건설 압수수색…부동산PF 관련",https://www.hankyung.com/article/2024102190516,20시간 전,"LS증권. 사진=LS증권검찰이 직무상 정보를 이용해 사익을 추구한 혐의로LS증권과현대건설을 압수수색했다.21일 법조계에 따르면 서울중앙지검 반부패수사3부(부장 이승학)는 서울 여의도동 LS증권 본사와 서울 계동 현대건설 본사 등 10여곳을 압수수색했다. 대전 탄방동 홈플러스 부지 매입 등과 관련 자본시장법을 위반한 혐의다.앞서 금융감독원은 지난해 10~12월 다올투자증권, 메리츠증권, 이베스트투자증권(현 LS증권), 하이투자증권, 현대차증권 등 5개 증권사를 대상으로 부동산 프로젝트 파이낸싱(PF) 기획검사를 실시하고 관련 자료를 올 1월 검찰에 통보·고발했다.이 가운데 LS증권 임원 A씨는 자금 회수 가능성이 큰 4개 PF사업장과 관련한 직무상 정보를 확보해 본인 법인과 관련된 시행사들에 700억원을 사적으로 대여하고 수수료·이자 등 명목으로 40억원 상당액을 취한 혐의 등을 받고 있는 것으로 알려졌다.노정동 한경닷컴 기자 dong2@hankyung.com",서울특,서울 외
4만 달러 시대 부동산 투자법,https://weekly.donga.com/3/all/11/5232973/1,2일 전,"‘신축’을 대표하는 서울 가락동 ‘헬리오시티’. [뉴스1]1인당 국민소득 3만 달러를 넘어선 지 어느덧 10년 차를 맞았다(그래프 참조). 인구 5000만 명 이상 나라 가운데 국민소득 3만 달러를 넘어선 나라는 한국, 미국, 일본, 독일 등 7개국뿐이다. 한국 경제 수준이 선진국에 진입했다는 의미다. 2021년 유엔무역개발회의는 한국이 개도국에서 선진국 지위로 올라섰음을 공식 인정했다.‌다만 민심은 “과연 한국이 선진국인가”라는 의문을 던지고 있다. 이 의문의 근간에는 “한국이 선진국이 될 만한 ‘국격’을 갖추고 있는가”에 대한 고민이 담겨 있다. 필자는 ‘선진국 담론’이 들끓는 것 자체가 우리 사회가 ‘양’에서 ‘질’의 시대로, 그리고 그 너머 ‘격’의 시대로 진입하고 있음을 시사하는 증거라고 생각한다. 책 ‘격의 시대’를 쓴 김진영작가는 1인당 국민소득이 2만 달러에서 3만 달러로 접어드는 시점에 국민의 라이프스타일 등 생활의식과 사고체계가 큰 변화를 겪는다고 했다. 부동산 역시 ‘양의 시대’에서 ‘질의 시대’로 진입하며 부의 패러다임이 바뀌었다. 다가올 ‘격의 시대’ 징후들도 심심치 않게 포착돼 패러다임의 지각변동을 예고하고 있다. 격의 시대 특징은 눈에 보이는 것을 따지는 수준을 넘어 무형의 가치를 추구하고 인정하는 것이다. 여기서 무형의 가치란 오랜 숙성과 축적의 시간을 거쳐 자연스럽게 뿜어져 나오는, 누구나 인정하는 차원이 다른 품격을 의미한다. 따라서 격의 시대를 맞아 부동산 투자전략도 바뀌어야 한다.현재는 부동산 ‘질의 시대’과거 양의 시대를 대표하는 척도로는 ‘주택 보급률’이 있었다. “가구당 얼마나 많은 집이 공급됐는가”로 주거 수준을 측정하는 것이다. 건설된 주택의 유형은 무엇인지, 시공 품질이 어떠한지는 중요치 않다. 그저 목표한 숫자만큼 건설만 하면 된다. 이 단순 척도로 성패가 갈리던 속도전의 시기가 바로 ‘양의 시대’였다. 2008년 주택 보급률은 100%를 달성했다. 그리고 어느덧 16년이 지났다. 단순히 양적으로 보면 주택이 부족하지 않다는 얘기다. 그런데 일각에서는 여전히 주택이 부족하다는 말이 나온다. 보수·진보를 막론하고 정권마다 약속하는 ‘임기 내 수백만 채 주택 공급’은 부동산 정책의 단골 헤드라인이다. 주택 보급률 100% 시대에 ‘주택 부족’ 담론이 들끓고 있다는 것은 ‘양의 시대’를 떠나보내고 ‘질의 시대’ 한복판에 진입했다는 증거다.‌최근 국토교통부가 발표한 ‘제3차 장기 주거종합계획’에 따르면 주택 보급률 같은 양적 지표는 지난 10년간 꾸준히 증가했다. 다만 입주 30년 이상 된 고령 주택은 2010년 135만 채에서 2022년 449만 채로 3배가량 증가했으며, 빈집도 같은 기간 79만 채에서 124만 채로 빠르게 늘어났다. 이 기간 국민소득은 3만 달러를 돌파한 후 3만 달러 중반까지 치솟았다. 이에 따라 주거 질에 대한 민감도가 높아졌지만, 개발 골든타임 실기로 ‘살고 싶은 집’이 감소한 탓에 신축 희소가치가 더 커지고 있다. 현재 신축 가치를 대변하는 말은 ‘얼죽신’(얼어 죽어도 신축)이다. 그 대표 사례가 서울 송파구 가락동 ‘헬리오시티’와 잠실동 ‘엘리트’(엘스·리센츠·트리지움)다. 은마아파트나 잠실주공5단지를 보면 대단지 재건축이 얼마나 어려운지 알 수 있다. 설령 재건축이 진행되더라도 둔촌주공의 ‘공사 중단’ 사태가 시사하듯이 공사비 이슈로 제때 준공하기도 녹록지 않다. 이처럼 대단지 신축이 어렵다 보니 입지적으로 격차가 큰 ‘헬리오시티’와 ‘엘리트’이지만 국민 평형 가격은 큰 차이가 없다.‌국토연구원의 빅데이터 분석 결과에 따르면 저가 주택 군집지라도 대규모 재개발·재건축이 촉진될 경우 고가 주택 군집지와의 집값 격차가 완화된다. 이 연구 결과는 대규모 신축의 입주 이벤트가 전통적 입지위계와 상관없이 해당 지역 전반의 집값을 끌어올리는 트렌드를 지지하고 있다. 이를 근거로 질의 시대에 ‘틈새 기회 지역’을 찾을 수 있다. 바로 대규모 재개발·재건축 사업장 인근에 위치한 구축 단지다. 목동 신시가지 재건축 인근의 신월동 구축, 노량진 재개발 인근의 동작구 구축, 이문휘경뉴타운과 장위뉴타운 인근의 구축이다. 이곳들은 6억~9억 원대로 매입이 가능하면서 신축 개발의 후광 효과까지 누릴 수 있는 가성비 좋은 투자처다.주택 가치 복합적으로 따져야요즘 분양 단지의 청약 성적을 살펴보면 같은 단지의 같은 평형이라도 평면, 조망, 방향에 따라 청약률이 크게 엇갈린다. 이는 주택 가치를 복합적으로 따지는 질의 시대의 특징이다. 톱상형보다 판상형이, 판상형 중에서도 3베이보다 4베이가 더 높은 청약 경쟁률을 기록하고 있다. 조망이 좋은 층수는 분양가가 수천만 원 비싸도 더 높은 청약 경쟁률을 나타내기도 한다. 특히 지방은 남향 선호 현상이 커 남향이 서향 대비 2배 넘는 청약 경쟁률을 보이고 있다. ‘역세권’이라는 단어에서 파생돼 갈수록 풍성해지는 ‘N세권 사전’ 역시 각자의 라이프스타일을 추구하는 질의 시대를 상징한다. 질의 시대 부동산 상품성을 대표하는 키워드가 ‘얼죽신’이라면, 입지성을 대표하는 키워드로는 ‘얼어 죽어도  N세권’을 뜻하는 ‘얼죽세’가 있다.‌향후 10년 대한민국 주거 전략의 대계인 ‘제3차 장기 주거종합계획’의 4대 정책 방향 중 하나가 바로 ‘4만 달러 시대에 맞는 미래 녹색 주거환경 조성’이다. 국민소득 2만 달러에서 3만 달러로 도약이 ‘질의 시대’ 진입을 알렸다면, 4만 달러 진입은 ‘격의 시대’ 시작을 선포하게 될 것이다. 질의 시대를 대표하는 ‘얼죽신’ ‘얼죽세’가 눈에 보이는 스펙에 대한 집착이라면, 격의 시대에는 무형의 가치가 중시될 것으로 보인다.‌그렇다면 왜 주거종합계획에서는 4만 달러 시대와 녹색 주거를 연결했을까. 올여름 우리는 ‘뜨거워지는 지구’가 돌이킬 수 없는 미래라는 사실을 통감했다. 이제는 ‘생존’을 위해 지구와의 공존 시스템을 마련해야만 한다. 격의 시대에는 지속가능한 건강한 성장이 미덕이 될 것이다. 녹색기술로 건설된 저탄소 아파트가 인정받을 것으로 보인다. 다만 현재는 격의 시대로 가는 과도기다. 과도기에는 치러야 할 비용이 있다. 이는 ‘그린 플레이션’이라는 이름으로 나타나고 있다. 친환경 정책과 기술에 대한 투자 증가로 나타나는 물가 상승 현상을 의미하는 그린플레이션으로 건설비가 더욱 높아질 수밖에 없다. 또한 시대 전환의 과도기에는 틈새 투자처가 탄생한다. 기후온난화가 심각해질수록 ‘저온지대’ ‘준해안가’ 같은 입지가 놀라울 정도로 격상할 것으로 전망된다.‌김진영 작가는 격의 경험은 인간, 공간, 시간인 ‘3간’에서 발생한다고 했다. 격의 시대 부동산 3간의 가치는 어디서 올까. 아무리 신축이 좋다 한들 함께 사는 이웃이 불편하다면 ‘스위트홈’이 될 수 없다. 층간소음 분쟁, 경비원에 대한 갑질 등은 신축, 구축, N세권을 따지지 않고 발생한다. 함께 사는 입주민의 품위와 에티켓을 뜻하는 ‘민도’는 하루아침에 형성되는 것이 아닌, 오랫동안 다져진 아파트 단지 문화에 근간한다. 부동산 격의 시대에 인간과 맞닿아 있는 가치 잣대는 ‘민도’다. 지금 강남은 강북 명문고의 이전, 경부고속도로 건설, 테헤란로 조성, 서울지하철 2호선 개통 등으로 수십 년에 걸쳐 만들어졌다. 시간 흐름 속에 축적되는 평판은 도시의 격을 결정한다. 같은 N세권이라도 해당 역세권의 유동인구가 얼마인지, 해당 몰세권이 얼마나 고도화된 쇼핑 경험을 제공하는지, 같은 직주근접일지라도 관련 산업의 유망성이 어느 정도인지에 따라 그 도시의 평판과 부동산 가치가 엇갈리는 것이다.활력 넘치는 지역에 수요 쏠릴 듯부동산 격의 시대는 인구 감소와 고령화 사회에서 맞게 된다. 이때 부동산 가치 잣대는 ‘N세권의 평판’이다. 정부는 인구 감소 지역을 살리고자 ‘생활 인구’ 개념을 도입했으며, 최근에는 지역별 MBTI를 진단해 지역 맞춤형 회생 대책을 마련하고 있다. 액티브시니어는 요양시설이 아닌, 고품격 서비스가 제공되는 시니어 레지던스로 몰리고 있다. 이 모든 현상의 교집합에는 바로 ‘활력’이라는 테마가 자리 잡고 있다. 격의 시대에는 활력이 넘치는 곳으로 부동산 수요가 쏠릴 수밖에 없다. 부동산 투자의 성패는 시대 전환의 파도를 미리 파악해 그 시류에 얼마나 능숙하게 올라타느냐에 달렸다. 격의 시대 3대 가치 잣대인 ‘민도’ ‘N세권 평판’ ‘활력’에 근간을 둔 부동산 투자전략은 다가올 부의 물결을 놓치지 않게 해줄 것이다.*유튜브와 포털에서 각각 ‘매거진동아’와 ‘투벤저스’를 검색해 팔로잉하시면 기사 외에도 동영상 등 다채로운 투자 정보를 만나보실 수 있습니다.",가락동,서울
"금리 인하요? ""요즘 집 안 팔려요” 한숨...절반도 돈 못 빌렸다 [부동산...",http://www.fnnews.com/news/202410220920188008,2시간 전,"서울 아파트 전경. 사진=연합뉴스[파이낸셜뉴스] 정부가 주택담보 대출 문턱을 본격적으로 높이기 시작하면서 주택 매수 때 대출 비중이 서울의 경우 40%대까지 떨어진 것으로 나타났다. 집값의 절반도 못 빌린 셈이다. 또 근저당 설정 건수도 크게 감소하는 등 현금부자들만의 잔치가 되고 있다는 지적이다.22일 법원 등기정보광장에 따르면 지난 9월 서울 집합건물(아파트·오피스텔·빌라 등) 거래가액 대비 채권최고액 비율이 49.17%를 기록했다. 올해 들어 가장 낮은 수치다. 정부는 지난 9월부터 2단계 스트레스 총부채원리금상환비율(DSR) 시행 등 대출 옥죄기를 본격적으로 시행하고 있다.채권최고액은 은행이 돈을 빌려줄 때 갚으라고 요구할 수 있는 최대 금액이다. 통상 대출금의 120~130% 안팎으로 설정된다.비율이 감소했다는 것은 은행에서 빌리는 돈의 규모가 줄었다는 의미다.서울의 경우 집합건물 채권최고액 비율은 올 1~7월 50%대를 넘었다. 3월에는 58.04%를 기록하기도 했다. 하지만 8월에는 49.63%로 절반 이하로 떨어지더니 9월에는 49.17%로 더 주저 않았다.문재인 정부 때 집값이 급등하며 대출 옥죄기가 정점에 달한 지난 2020년과 2021년의 경우 비율이 각각 48.09%, 51.02%를 기록했다. 한 전문가는 ""문 정부 때는 지침으로 규제했고, 현 정부는 자율규제로 옥죄고 있다""며 ""오히려 명확한 규제 지침이 없다 보니 금융권별로 대출 가능 여부 및 금액 등이 달라 혼선은 더 커지는 모습이다""라고 지적했다.경기도 역시 채권최고액 비율이 지난 4월과 5월에는 70%를 넘기도 했다. 이후 8월에는 65.72%로 줄었고, 9월에는 63.26%를 기록했다. 9월 비중은 올들어 가장 낮은 수치다. 인천도 비율이 8월 73.34%에서 9월에는 71.89%로 감소했다.근저당 건수도 감소하고 있다. 거래가 줄어든 영향도 있지만 한편으로는 돈 빌리기가 여의치 않다는 의미이기도 하다.서울의 경우 근저당 설정등기 신청 건수가 8월 2만4855건에서 9월에는 1만9091건으로 23% 감소했다. 경기와 인천 등 다른 수도권 지역 역시 각각 22%·18% 줄어든 것으로 나타났다.아파트 매물도 늘어나는 모습이다.아실에 따르면 서울의 경우 지난 10월 19일 기준으로 8만9131건으로 조사 이후 역대 최고치를 찍기도 했다.고준석 연세대 상남경영원 교수는 “대출규제 이후 수요자들이 돈 있는 사람과 없는 사람 등 두 계층으로 나눠지고 있다”며 “금리 인하에도 자금여력이 부족한 수요자들의 경우 시장 진입이 어려운 상황이고, 반면 현금부자들은 매수에 나서면서 신고가를 만들어 내고 있다”고 말했다.윤지해 부동산R114 수석연구원은 “가격 저항감이 커져 있는 상황에서 돈 빌리는 것도 갈수록 어려워 지고 있다”며 “외곽지역의 경우 가격 문제가 아니라 대출이 안 나오고 줄어드니까 아예 못 사는 상황이 나타나고 있다”고 분석했다.ljb@fnnews.com 이종배 기자#부동산아토즈#채권최고액#근저당#등기정보광장※  저작권자 ⓒ 파이낸셜뉴스, 무단전재-재배포 금지",서울,서울
올해 아파트 특공서 10명 중 8명은 생애최초·신혼부부 신청,https://www.yna.co.kr/view/AKR20241022033000003?input=1195m,4시간 전,"송고시간2024-10-22 08:59 올해 아파트 특별공급 청약자 10명 중 8명은 생애최초와 신혼부부 유형에 신청한 것으로 나타났다. 22일 부동산 전문 리서치업체 리얼투데이가 한국부동산원 청약홈을 분석한 결과, 올해 1∼9월 분양에서 특별공급 신청 건수는 총 28만3천367건으로, 이 가운데 생애최초 유형 신청이 15만4천478건(54.5%)으로 가장 많았다. 분양업계는 최근 청약 수요자가 40대 이하 젊은층이 주를 이루면서 생애최초와 신혼부부 유형에 신청이 몰리는 것으로 보고 있다. [리얼투데이 제공. 재판매 및 DB 금지]  (서울=연합뉴스) 권혜진 기자 = 올해 아파트 특별공급 청약자 10명 중 8명은 생애최초와 신혼부부 유형에 신청한 것으로 나타났다. 22일 부동산 전문 리서치업체 리얼투데이가 한국부동산원 청약홈을 분석한 결과, 올해 1∼9월 분양에서 특별공급 신청 건수는 총 28만3천367건으로, 이 가운데 생애최초 유형 신청이 15만4천478건(54.5%)으로 가장 많았다. 이어 신혼부부 유형은 8만7천398건(30.8%)으로, 생애최초와 신혼부부 신청 건을 합하면 전체의 85.3%에 이른다. 또 다자녀 가구는 3만3천776건(11.9%), 노부모 부양 4천395건(1.6%), 기관 추천 3천59건(1.1%), 신생아 263건(0.1%) 등의 순이었다. 분양업계는 최근 청약 수요자가 40대 이하 젊은층이 주를 이루면서 생애최초와 신혼부부 유형에 신청이 몰리는 것으로 보고 있다. 실제로 한국부동산원의 연령별 청약 당첨자 정보를 보면 올해 1∼8월 40대 이하 당첨건수는 5만7천388명으로 전체 당첨건수 7만3천823건의 77.7%에 해당한다. 이러한 추세를 볼 때 40대 이하 수요에 맞춘 단지가 앞으로 인기를 끌 것으로 업계는 내다봤다. 직주근접 입지를 갖췄거나 학군이 갖춰진 단지가 대표적이다. 리얼투데이 관계자는 ""3040세대의 취향을 저격하는 단지에 수요자들의 관심이 몰릴 전망""이라고 말했다. [연합뉴스 자료사진]  lucid@yna.co.kr 제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2024/10/22 08:59 송고",서울,서울
"이병헌, 240억에 산 옥수동 빌딩 2년 만에…'초대박' [집코노미-핫!부동...",https://www.hankyung.com/article/2024102070177,1일 전,"배우 이병헌이 2022년에 매입한 서울 성동구 옥수동 건물로 2년 만에 92억원의 시세차익을 얻은 것으로 전해졌다.20일 뉴스1은 이병헌이 보유 중인 서울 옥수동 건물 시세가 330억원이라며, 2년 전 매입가보다 92억원 오른 것으로 추산된다고 보도했다.빌딩로드부동산 중개법인에 따르면 이병헌은 2022년 옥수동 대로변에 위치한 지하 2층~지상 6층 연면적 755평의 건물을 239억9000만원에 샀다.가족 법인 명의로 해당 건물을 매입했는데, 매입가 240억원 중 현금 50억원을 투자하고, 나머지 190억원은 은행 대출을 받은 것으로 알려졌다.이 건물의 최근 시세는 332억원으로, 매입 당시에 비해 92억원 이상의 시세차익이 발생했다. 특히 건물에는 현재 한 국제학교가 보증금 10억원에 월 임대료 8500만원에 입주한 것으로 알려졌다. 매입가 기준 수익률이 4.44%로 높다.인근에는 다수의 대사관을 비롯해 나인원한남과 유엔빌리지, 한남더힐 등 고급 주거건물들이 있어 입지 조건이 우수한 것으로 평가받고 있다.김수영 한경닷컴 기자 swimmingk@hankyung.com",서울특,서울 외
"현빈♥손예진 이웃 됐다…한소희, '52억 펜트하우스' 매입 [집코노미-핫...",https://www.hankyung.com/article/2024102066687,1일 전,"배우 한소희가 경기 구리 아치울 예술인마을에 위치한 고급 펜트하우스를 52억 원에 분양받았다.20일 헤럴드경제 보도에 따르면 한소희는 지난 8월 21일 경기도 구리시 아천동 '아르카디아 시그니처' 전용면적 203㎡ 듀플렉스 펜트하우스를 매입했다.한소희는 지난달 30일 잔금을 치러 소유권을 이전받았다. 등기부등본에 따르면 채권최고액 11억원의 시중은행 근저당권이 설정돼 있다.그동안 한소희는 아르카디아 시그니처 인근에 위치한 빌라드그리움더블유에서 거주하고 있었다. 2021년 12월 19억 5000만원에 전액 현금 매입해 화제가 됐다. 그는 최근 이사를 앞두고 있어 호텔 생활 중이라고 밝힌 바 있다.한소희의 새 보금자리인 아르카디아 시그니처는 지하 2층~지상 4층 규모로 전체 8가구에 불과하다. 아치울 마을에서 유일하게 단독 진입로를 확보하고 있어 입주자들의 프라이버시를 보호해준다.한소희가 매입한 펜트하우스는 아차산과 한강 조망을 누릴 수 있으며 고급 빌라에서 찾아보기 힘든 복층형 구조로 다양하게 공간 활용이 가능하다. 침실 4개, 욕실 3개, 다락, 루프탑 테라스로 구성돼 있다.구리 아치울마을은 프라이빗하게 전원생활을 즐길 수 있으면서도, 서울 강남까지 자차로 15분 거리에 있어 신흥 부촌으로 자리매김하고 있다. 배우 현빈·손예진 부부, 오연서, 축구 선수 김민재 등이 아치울 마을에 주택을 소유하고 있다.한편 드라마 '알고 있지만', 넷플릭스 '경성크리쳐' 등을 통해 가장 핫한 여배우로 떠오른 한소희는 사생활 이슈로 입방아에 오르고 있다.지닌 9월엔 모친 신모 씨가 불법 도박장 개설 혐의로 구속됐다는 사실이 알려져 논란이 됐다. 신 씨는 2021년부터 지난달 말까지 명의 대행 사업자를 내세우며 울산, 원주 등에서 12곳의 게임장을 운영했다. 게임장 손님들은 신 씨가 총판으로 있는 도박사이트에 접속해 게임머니를 충전하고 바카라 같은 도박을 한 것으로 파악됐다고 검찰은 보고 있다.당시 소속사 측은 ""어머니가 벌인 지극히 개인적인 일""이라면서 ""한소희도 기사를 통해 해당 내용을 접해 참담한 심정을 이루 말할 수 없다""고 입장을 전했다.최근엔 혜리에게 악플을 다는 비공개 계정을 운영 중이라는 의혹을 받고 곤욕을 치렀다. 소속사 측은 ""언론에 노출된 SNS 계정은 한소희 배우의 계정이 아니며, 사실이 아닐 시 모든 법적 책임을 지겠다""고 입장을 밝혔다.김예랑 한경닷컴 기자 yesrang@hankyung.com",구리,서울 외
PF 부실 우려 가라앉자 증권사 회사채 잇단 흥행,https://www.hankyung.com/article/2024102193831,A17면 1단,"대형 증권사의 회사채(증권채) 발행 작업이 활발하게 이뤄지고 있다. 부동산 프로젝트파이낸싱(PF) 부실 완화에 실적 개선 기대까지 높아지자 회사채 시장 ‘큰손’ 투자자의 관심도 커지고 있다.21일 투자은행(IB)업계에 따르면 하나증권은 오는 28일 최대 3000억원 규모 회사채 수요예측을 할 예정이다. 2년물과 3년물로 구성한다. KB증권, NH투자증권, 한국투자증권, 신한투자증권이 대표 주관사를 맡았다.증권채 인기가 높아지면서 대형 증권사들이 잇따라 회사채 시장에 뛰어들고 있다는 분석이 나온다. 9월 이후 회사채 수요예측을 한 한국투자증권, NH투자증권, 삼성증권 등 대형 증권사들은 모두 수요예측에 2조원이 넘는 매수 자금이 몰렸다. 한국투자증권은 2000억원 모집에 12배가 넘는 2조5250억원어치 주문을 받았다. NH투자증권과 삼성증권도 각각 2조1800억원, 2조2900억원의 ‘뭉칫돈’이 들어왔다.증권사들은 ‘차입구조 만기화’를 위해 회사채를 찍고 있다. 한국투자증권, NH투자증권, 삼성증권은 단기물인 기업어음(CP)·전자단기사채 등을 장기물인 회사채로 대체할 방침이다.증권사들이 역대급 실적을 내는 게 흥행 요인으로 꼽힌다. 실적 개선세는 상반기에 이어 3분기에도 이어질 전망이다. 금융정보업체 에프앤가이드에 따르면 주요 상장 증권사 6곳(미래에셋증권, 한국금융지주, NH투자증권, 삼성증권, 키움증권, 메리츠금융지주)의 3분기 영업이익 총합은 2조1235억원으로 추산된다. 지난해 같은 기간보다 18.9% 늘어날 전망이다.증권사 발목을 잡은 부동산 PF 리스크도 옅어지고 있다. 대형 증권사를 중심으로 부동산 PF 충당금을 넉넉하게 적립하는 등 리스크 관리에 주력하면서 기관투자가의 관심을 되찾은 것으로 풀이된다.장현주 기자 blacksea@hankyung.com",N/A,서울 외
“유상증자 함부로 했다간”…금리인하 호재에도 급락한 부동산 이 주식,https://www.mk.co.kr/article/11145858,21시간 전,"부동산주에 대형 호재인 금리 인하에도 한화리츠가 최근 한달간 11% 가량 급락했다. 구주 이상의 신주를 발행하는 유상증자 때문이다. 다만 업계에서는 한화생명 등 한화금융계열사가 최소 기존 지분율만큼은 유상증자에 참여하는 책임감을 보일 것으로 전망돼 낙폭이 과다하다는 분석이 나온다. 21일 한국거래소에 따르면 한화리츠는 지난달 23일부터 이날까지 10.61% 하락했다. 한화리츠는 당초 상장리츠 역사상 최대인 4730억원 규모의 유상증자를 발표했기 때문이다. 문제는 높은 유상증자율이다. 기존주식수가 7060만주인데, 신주가 1억900만주에 달한다. 주주 청약은 내달 11~12일 진행되며, 실권주 발생 시 14~15일 일반 공모 청약이 진행된다. 서울도심권역(CBD) 장교동 한화빌딩을 편입한 점은 긍정적으로 볼 수도 있지만, 반대로 대기업들이 유동성 확보를 위해 본사 사옥 지분을 일부를 투자자들에게 떠넘기는 식으로 해석되기 때문이다. 투자자들은 주주 가치 희석에 대한 우려 매우 크다. 다만 업계에서는 한화리츠가 스폰서 리츠라는 점이 최소한의 ‘안전판’ 역할을 할 것으로 보고 있다. 스폰서 리츠란 보통 대기업이 최대 주주이며, 해당 기업이 출자한 자산관리회사를 통해 대기업이 리츠에 매도한 부동산을 관리하는 리츠를 말한다. 예컨대 최근 유상증자를 진행한 삼성FN리츠는 기존 주주인 삼성생명과 삼성화재가 보유한 지분율 만큼의 유상증자 참여를 결정한 바 있다. 롯데리츠 역시 최대주주인 롯데쇼핑이 참여하지 못했지만, 롯데물산이 신주인수권 매수를 통해 유상증자 물량 40%를 책임지기로 했다. 최근 미국 연방준비제도(Fed)가 금리 인하를 단행하는 등의 거시적 관점으로 볼 때, 유상증자로 인한 상장리츠의 주가 하락을 저가 매수 기회로 볼 수 있다는 시각도 있다. 자산운용 업계 관계자는 “한화금융 계열사가 이번 유상증자에 기존 지분율 수준에서의 참여를 추진하고 있는 것으로 알고 있다”면서 “최소한 과거 타 상장리츠 증자 시와 같은 대량 실권 사태는 벌어지지 않을 것으로 보고 있다”고 말했다.",서울,서울
