Title,Link,Date,Content
120억 빌라 현금으로 사들였다…하정우 이웃사촌 된 재벌 3세 [집코노미...,https://www.hankyung.com/article/2024100330107,22시간 전,"'아모레퍼시픽가(家) 3세'인 서민정 아모레퍼시픽 럭셔리 브랜드 디비전 AP팀 담당이 이태원동 고급빌라 ‘어퍼하우스 남산’을 분양받은 것으로 3일 알려졌다.이날 헤럴드경제와 법원 등기부등본에 따르면 서 담당은 분양가가 120억원에 달하는 신축 고급빌라 ‘어퍼하우스 남산’을 분양받은것으로 파악됐다.서경배 아모레퍼시픽그룹 회장의 장녀인 서 담당은 2021년 9월 서울 용산구 이태원동 어퍼하우스 남산 1가구를 분양받아 지난 8월 19일 소유권 이전을 마친 것으로 알려졌다.별도 근저당권이 잡혀있지 않아 전액 현금으로 분양대금을 치른 것으로 파악된다.서 담당은 1991년생으로 아모레퍼시픽그룹 후계 구도에 거론되는 인물이다.어퍼하우스 남산의 정확한 분양가는 알려지지 않았으나 잔여 가구가 최근 120억원에 분양되고 있는 것을 고려하면 최소 100억원 이상일 것으로 추정된다.어퍼파우스 남산은 서 담당 뿐만 아니라 배우 하정우, 유튜버 하늘 등 유명인들도 분양받았고 재계 인사로는 신성재 삼우 부회장이 지난해 5월 1가구를 분양받은것으로 알려진다.정몽구 현대자동차그룹 명예회장의 전 셋째 사위로도 알려진 신 부회장은 전액 현금으로 어퍼하우스 남산을 매수해 지난달 2일 소유권이전등기가 완료됐다.국내 사모펀드(PEF) 운용사 한앤컴퍼니를 이끄는 한상원 대표 또한 2022년 1월 어퍼하우스 남산 1가구를 분양받았다. 한 대표도 전액 현금으로 매수한 것으로 추정된다.소유주 중에선 연예계 인사도 이름을 올렸다. 배우 하정우(본명 김성훈)는 2022년 9월 어퍼하우스 남산 1가구를 분양받았는데 시중은행에서 34억1000만원의 담보대출을 받아 매수했고 지난 8월 30일 잔금을 치러 소유권을 넘겨받았다.아울러 구독자수 61만명을 보유하고 있는 채널을 운영 중인 유명 유튜버 하늘 또한 남편 강모 씨와 공동명의로 어퍼하우스 남산 1가구를 보유하고 있는 것으로 나타났다. 강모 씨는 비연예인 사업가로 제주의 유명한 대형 카페를 운영하고 있는 것으로 알려져 있다.어퍼하우스 남산은 시행사 신원종합개발이 남산체육관 부지에 조성한 19가구 규모 하이엔드 고급주택으로 A, B, C 세 개 동에 주택이, D동에 근린생활시설 및 주차장이 지어졌다.가구 수가 적어 프라이빗하게 주거 가능하며 동별로 높이를 달리 설계해 조망권, 일조량 침해가 없다.남산둘레길(소월로)을 사계절 내내 산책로로 활용할 수 있고 순천향대학교병원, 블루스퀘어, 리움 미술관, 그랜드 하얏트 호텔 등이 인근에 있다.또한 호텔식 서비스가 제공되며 트레이닝, 스파, 데일리 케어, 펫케어 서비스 등도 이용 가능하다.한편 부동산 시장에서는 100억원 이상 초고가주택 거래가 나날이 늘고있다. 국토교통부 실거래가 공개시스템에 따르면 올해 신고된 서울 아파트 매매계약 중 100억원 이상 거래는 총 14건으로 지난해(5건) 대비 세 배 가까이 늘었다. 50억원 이상 매매계약으로 거래가를 낮추면 242건으로 집계돼 지난해(151건)보다 60% 증가했다.유지희 한경닷컴 기자 keephee@hankyung.com"
"""우리 아파트 ○○억 밑으로 내놓지 마세요""…안내문 붙였다가",https://www.hankyung.com/article/2024100327757,1일 전,"서울 강남의 아파트 단지들. / 사진=뉴스1국토교통부는 금융위원회·국세청·지방자치단체·한국부동산원·주택도시보증공사(HUG) 등과 공동으로 올해 8월13일부터 9월27일까지 수도권 주택 이상 거래에 대한 합동 현장점검 및 기획조사를 통해 총 397건의 부동산 위법 의심거래를 적발했다고 3일 밝혔다.지난 8월8일 발표한 ‘주택공급 확대방안’ 후속 조치로 이뤄진 이번 조사는 서울 강남·서초·송파·마포·용산·성동구 일대 45개 아파트 단지와 올해 상반기 수도권 주택 거래 가운데 ‘이상 거래’를 대상으로 진행됐다.적발된 397건은 △편법 증여 △법인 자금 유용 △대출 규정 위반 및 대출 용도 외 유용 △계약일 거짓 신고 등이 의심되는 사례들이다.적발 사례들을 보면 서울 소재 한 아파트 단지는 안내문이나 온라인 커뮤니티를 이용해 시세에 부당한 영향을 줄 목적으로 특정 가격 밑으로 집을 내놓지 말라는 등 ‘집값 담합’ 정황이 포착됐다. 이에 국토부는 지방자치단체에 추가 조사를 요청했다고 부연했다.투기과열지구 주택담보대출비율(LTV) 한도 초과 및 가격 거짓 신고 사례도 있었다. 공동 매수인 부부는 주택담보대출 목적으로 서울 소재 한 아파트 감정평가 금액 22억원(LTV 한도 11억원)을 받았다. 매수인들은 선순위 임차보증금이 있으면 주담대를 못 받을 것을 우려해 부친을 주소지에서 전출시킨 후 대출을 받고선 다시 전입하게 했다. 대출 규정 위반에 해당한다.자금조달계획서 허위 작성 의심 사례도 있었다. 한 매수인은 서울 아파트를 매수하면서 거래대금 21억5000만 원 전액을 금융기관 예금액으로 조달하겠다고 계획서에 밝혔다. 하지만 실제 자금조달 증빙을 위한 소명 자료는 수차례 요청에도 제출하지 않아 거래신고법 위반, 탈세가 의심돼 지자체와 국세청 통보 대상이 됐다.지연 신고 및 편법 증여 의심 사례의 경우 매수인은 서울 규제지역 내 아파트를 약 21억원에 매수하면서 본인 자금은 전혀 쓰지 않았다. 모친에게 차입금(14억원), 증여받은 자금(5억5000만원), 주담대(3억5000만원)로 자금을 조달한 케이스로 편법 증여가 의심된다.중개 대상물의 표시·광고 규정 위반 사례 또한 있었다. 한 공인중개사는 서울 소재 아파트를 특정 부동산 포털에 표시, 광고 매물로 등록한 후에 계약이 체결되면 일단 광고를 삭제했다. 이후 당일 다시 등록하기를 총 7차례 반복해 공인중개사법 규정 위반사항이 확인됐다.이와 함께 국토부는 지난해 하반기 신고된 전국 아파트 거래 18만7000여건도 분석해 거래 신고 후 미등기된 ‘미등기 거래’ 518건을 확인했다. 신고가 거래 신고 후 해제하는 식의 미등기 거래는 ‘집값 띄우기’ 목적의 이상 거래일 가능성이 높다.단 미등기 거래 건수는 전년 하반기(1183건)에 비해선 절반 이상(56%) 줄었다. 미등기 아파트에 대한 지속적 조사와 함께 지난해 1월 이후 거래에 대해선 ‘실거래가 공개시스템’을 통해 등기일을, 올해 2월부터는 아파트 동도 공개하는 등 정보 공개 범위를 확대한 영향으로 풀이된다.국토부는 연말까지 올해 상반기 미등기 거래를 조사해 집값 띄우기 목적으로 악용될 우려가 있는 잔금일 기한이 과도한 거래에 대해서도 별도 방안을 마련할 예정이다.김규철 국토부 주택토지실장은 “부동산 시장 안정을 위해선 안정적 주택공급과 함께 부동산 거래 질서를 교란하는 불법·불공정 행위를 적발하고 투명한 거래 질서를 확립하는 게 필수”라며 “관계부처 및 지자체와 수도권 주택 이상 거래에 대한 추가 현장점검과 기획조사를 실시하는 한편 자금조달계획서도 보다 면밀히 검토해 투기 수요를 철저히 차단하겠다”고 말했다.김봉구 한경닷컴 기자 kbk9@hankyung.com"
"집값 뛴 강남3구·마용성, 수상한 거래 397건",https://www.hankyung.com/article/2024100333831,A2면 1단,"올해 부동산 매매 가격이 급등한 수도권 주택시장에서 397건의 위법 의심 거래가 확인됐다. 정부가 지난 8월부터 진행한 서울 강남3구(강남·서초·송파구)와 마용성(마포·용산·성동구) 아파트 현장 점검에선 불법 증여 등 의심 거래가 다수 적발됐다.국토교통부는 8월 발표한 ‘국민 주거 안정을 위한 주택 공급 확대 방안’(8·8 공급 확대 방안)의 후속 조치로 시행한 ‘수도권 주택 이상 거래 현장 점검·기획조사’에서 397건의 의심 거래를 적발했다고 3일 밝혔다. 또 허위 신고 우려가 있는 미등기 거래, 편법 증여 가능성이 있는 직거래 조사에서도 209건의 위법 의심 정황이 발견됐다.국토부는 8월부터 가격 상승세가 이어지고 있는 서울을 포함한 수도권 아파트에 대해 기획 조사를 했다. 강남3구와 마용성은 이상 거래가 의심스러운 45개 단지를 현장 조사해 의심 사례를 확인했다.379건의 의심 거래에서 확인된 불법 행위는 모두 498건으로 집계됐다. 편법 증여와 법인자금을 유용한 경우가 315건으로 가장 많았다. 계약일 거짓 신고(129건)와 대출 규정 위반(52건), 중개수수료 초과 수수(2건) 등이 뒤를 이었다.서울의 한 아파트 단지에선 오픈채팅방을 이용해 특정 가격 이하로 매매 중개를 의뢰하지 않도록 유도하는 등 집값을 담합한 정황이 발견됐다. 주택담보대출을 받기 위해 거주 중인 부친을 서류상 전출시킨 뒤 대출받는 등 대출 규정을 위반한 사례도 적발됐다. 국토부는 “서울 아파트를 21억원에 매수하면서 본인 돈 없이 14억원을 부모에게 빌린 사례는 편법 증여가 의심된다”며 국세청에 통보 조치했다.지난해 하반기 신고된 전국 아파트 거래(17만7000여 건) 중 미등기 거래 518건과 직거래 조사에서도 위법 의심 정황 209건이 발견됐다. 이른바 ‘다운계약서’ 등 거짓 매매 신고가 133건으로 가장 많았다. 편법 증여(59건)와 대출 규정 위반(11건), 불법 전매(6건) 등도 있었다. 국토부 관계자는 “집값 띄우기 목적으로 악용될 우려가 있는 잔금일 기한을 넘긴 거래도 향후 별도 실거래가 공개 방안을 마련할 계획”이라고 말했다.국토부는 하반기 기획부동산 특별조사와 외국인 부동산 이상 거래 기획조사를 통해 부동산 시장 교란 행위를 단속하고 내년 상반기 결과를 발표할 예정이다.김규철 국토부 주택토지실장은 “추가 현장 점검과 기획조사를 하는 동시에 거래 신고 때 제출하는 자금조달계획서도 더 면밀히 검토해 투기 수요를 철저히 차단할 계획”이라고 설명했다.유오상 기자 osyoo@hankyung.com"
"'국민거지'로 유명한 개그맨, 결혼 전 아내에게 집 선물..부동산 4채 소...",http://www.fnnews.com/news/202410021823277022,1일 전,본문을 찾을 수 없습니다.
청약 당락 가르는 부양가족… 직계존속 3년 부양해야[부동산 빨간펜],https://www.donga.com/news/Economy/article/all/20241003/130150566/2,B7면 TOP,본문을 찾을 수 없습니다.
신성우 “늦둥이 대학생되면 난 75살”...부동산·현금 아닌 ‘이것’ ...,https://www.mk.co.kr/article/11131302,5시간 전,본문을 찾을 수 없습니다.
"""2주 만에 7000만원 떨어졌다""…도봉구 집주인들 '비명'",https://www.hankyung.com/article/2024100333821,A2면 1단,"대출 규제 효과와 단기 급등에 따른 부담 등으로 서울 아파트값 상승 폭이 점차 줄어들고 있다. 그동안 집값 급등과 가계대출 증가 등으로 고심해온 한국은행이 기준금리를 내릴 가능성이 높아진 것으로 업계는 보고 있다. 전문가들은 올 연말까지 거래 감소 속에 아파트값이 상승 곡선을 지속하기보다 안정화될 것으로 내다보고 있다.○상승 폭 둔화하는 서울3일 한국부동산원의 주간 아파트 가격 동향에 따르면 9월 다섯째 주(지난달 30일 기준) 서울 아파트 매매가는 한 주 전(0.12%)보다 0.10% 올랐다. 28주 연속 상승세다. 서울 아파트값은 8월 둘째 주에 0.32% 오르며 5년11개월 만에 최고 상승률을 기록했다. 하지만 상승세는 9월(0.23%→0.16%→0.12%→0.10%) 둔화했다. 수도권(0.09%→0.06%)과 전국(0.04%→0.02%) 상승 폭도 줄었다. 지방(-0.01%→-0.02%)은 하락세가 이어졌다. 5대 광역시(-0.02%→-0.03%)도 하락 폭이 확대됐다. 지난주 보합을 기록한 세종시와 8개 도 상승률은 모두 하락 반전하며 각각 -0.06%, -0.01%를 나타냈다.서울 25개 구 중 강남구(0.18%)가 상대적으로 상승 폭이 컸다. 서초구(0.17%), 광진구(0.16%) 등이 뒤를 이었다. 서초구는 지난주까지만 해도 0.23%로 상승률이 가장 높았으나 이번주엔 0.06%포인트 떨어졌다.영끌족 유입이 많은 ‘노도강’ 지역의 상승률 둔화가 뚜렷했다. 노원구는 0.10%에서 0.07%로, 강북구는 0.10%에서 0.06%로 내렸다. 도봉구도 0.07%에서 0.02%로 떨어졌다. 금천구(0.03%)와 관악구(0.03%)는 강보합 수준을 나타냈다.서울 일부 지역에선 하락 거래도 나타나고 있다. 도봉구 도봉동 ‘한신’ 아파트 전용면적 84㎡는 지난달 27일 5억7800만원에 새 주인을 찾았다. 지난달 11일 거래가(6억4700만원)와 비교하면 2주 만에 6900만원 빠졌다.서울 전셋값은 입주 물량 부족 등으로 한 주 전과 동일하게 0.10% 올랐다. 72주째 상승 행진이다. 수도권(0.11%→0.10%)과 전국(0.05%→0.05%)도 상승 흐름이 유지됐다. 세종시는 매물 적체 현상이 지속되며 0.08% 하락해 전주(-0.02%)보다 낙폭을 키웠다. 선호도 높은 역세권 및 대단지 중심으로 임차 수요가 꾸준하고 매물 부족 현상이 지속돼 전셋값 상승세가 이어지고 있다는 게 부동산원의 설명이다.○집값 둔화는 금리 인하 ‘긍정 신호’최근 집값 상승세 둔화는 시중은행의 대출 조이기, 단기 급등 피로감 등이 복합적으로 작용한 영향이라는 분석이다. 부동산원 관계자는 “집값이 단기간 급등하자 수요자가 부담을 느껴 매수심리가 위축됐다”며 “집을 팔려는 사람과 사려는 사람 간 가격 차이가 커 거래량도 줄고 있다”고 설명했다.전문가들은 서울의 경우 금리 인하 기대가 이미 가격에 반영됐고, 아파트값이 연말까지 안정세를 띨 가능성이 높다고 보고 있다. 당분간 시장을 주도할 변수는 대출 규제라는 얘기다. 윤수민 농협은행 부동산전문위원은 “정부가 대출 규제 강화로 주택 수요를 묶어놓은 측면이 있다”며 “길게는 연말까지 집값 진정 국면이 이어질 가능성이 크다”고 설명했다.박원갑 국민은행 부동산수석전문위원도 “금리 인하는 부동산의 상승 요인이며 대출 규제는 하락 요인”이라며 “서울의 핵심 지역은 금리 인하에 대한 기대가 선반영돼 가격이 오름세를 나타냈다”고 진단했다. 이어 “대출 규제가 심해지면서 서울을 비롯한 수도권 부동산에 숨 고르기 현상이 나타날 가능성이 있다”며 “금리 인하는 오피스텔 등 이른바 ‘수익형 부동산’ 시장에 숨통이 트이는 계기로 작용할 것”이라고 했다.함영진 우리은행 부동산리서치랩장도 “금융권의 대출 규제책이 현실화해 가격 상승세가 둔화하고 있다”며 “연말까지 서울을 중심으로 거래가 줄어들고 상승세도 꺾일 것”으로 전망했다.김소현/은정진 기자 alpha@hankyung.com"
120억 빌라 현금으로 사들였다…하정우 이웃사촌 된 재벌 3세 [집코노미...,https://www.hankyung.com/article/2024100330107,22시간 전,"'아모레퍼시픽가(家) 3세'인 서민정 아모레퍼시픽 럭셔리 브랜드 디비전 AP팀 담당이 이태원동 고급빌라 ‘어퍼하우스 남산’을 분양받은 것으로 3일 알려졌다.이날 헤럴드경제와 법원 등기부등본에 따르면 서 담당은 분양가가 120억원에 달하는 신축 고급빌라 ‘어퍼하우스 남산’을 분양받은것으로 파악됐다.서경배 아모레퍼시픽그룹 회장의 장녀인 서 담당은 2021년 9월 서울 용산구 이태원동 어퍼하우스 남산 1가구를 분양받아 지난 8월 19일 소유권 이전을 마친 것으로 알려졌다.별도 근저당권이 잡혀있지 않아 전액 현금으로 분양대금을 치른 것으로 파악된다.서 담당은 1991년생으로 아모레퍼시픽그룹 후계 구도에 거론되는 인물이다.어퍼하우스 남산의 정확한 분양가는 알려지지 않았으나 잔여 가구가 최근 120억원에 분양되고 있는 것을 고려하면 최소 100억원 이상일 것으로 추정된다.어퍼파우스 남산은 서 담당 뿐만 아니라 배우 하정우, 유튜버 하늘 등 유명인들도 분양받았고 재계 인사로는 신성재 삼우 부회장이 지난해 5월 1가구를 분양받은것으로 알려진다.정몽구 현대자동차그룹 명예회장의 전 셋째 사위로도 알려진 신 부회장은 전액 현금으로 어퍼하우스 남산을 매수해 지난달 2일 소유권이전등기가 완료됐다.국내 사모펀드(PEF) 운용사 한앤컴퍼니를 이끄는 한상원 대표 또한 2022년 1월 어퍼하우스 남산 1가구를 분양받았다. 한 대표도 전액 현금으로 매수한 것으로 추정된다.소유주 중에선 연예계 인사도 이름을 올렸다. 배우 하정우(본명 김성훈)는 2022년 9월 어퍼하우스 남산 1가구를 분양받았는데 시중은행에서 34억1000만원의 담보대출을 받아 매수했고 지난 8월 30일 잔금을 치러 소유권을 넘겨받았다.아울러 구독자수 61만명을 보유하고 있는 채널을 운영 중인 유명 유튜버 하늘 또한 남편 강모 씨와 공동명의로 어퍼하우스 남산 1가구를 보유하고 있는 것으로 나타났다. 강모 씨는 비연예인 사업가로 제주의 유명한 대형 카페를 운영하고 있는 것으로 알려져 있다.어퍼하우스 남산은 시행사 신원종합개발이 남산체육관 부지에 조성한 19가구 규모 하이엔드 고급주택으로 A, B, C 세 개 동에 주택이, D동에 근린생활시설 및 주차장이 지어졌다.가구 수가 적어 프라이빗하게 주거 가능하며 동별로 높이를 달리 설계해 조망권, 일조량 침해가 없다.남산둘레길(소월로)을 사계절 내내 산책로로 활용할 수 있고 순천향대학교병원, 블루스퀘어, 리움 미술관, 그랜드 하얏트 호텔 등이 인근에 있다.또한 호텔식 서비스가 제공되며 트레이닝, 스파, 데일리 케어, 펫케어 서비스 등도 이용 가능하다.한편 부동산 시장에서는 100억원 이상 초고가주택 거래가 나날이 늘고있다. 국토교통부 실거래가 공개시스템에 따르면 올해 신고된 서울 아파트 매매계약 중 100억원 이상 거래는 총 14건으로 지난해(5건) 대비 세 배 가까이 늘었다. 50억원 이상 매매계약으로 거래가를 낮추면 242건으로 집계돼 지난해(151건)보다 60% 증가했다.유지희 한경닷컴 기자 keephee@hankyung.com"
"““GTX는 물리적 거리 상쇄 못 해, 8호선·월판선에 주목하라”200억 부...",https://woman.donga.com/3/all/12/5198794/1,4시간 전,본문을 찾을 수 없습니다.
내년 1천가구이상 대단지 입주물량 10만가구 밑…12년만에 최저,https://www.yna.co.kr/view/AKR20241004026800003?input=1195m,4시간 전,본문을 찾을 수 없습니다.
