,시간,항목명,대출금리
0,2010-1분기,한국은행 기준금리,2
1,2010-1분기,정부대출금금리,2.41
2,2010-1분기,자금조정 대출금리,3
3,2010-1분기,자금조정 예금금리,1
4,2010-1분기,총액한도대출금리,1.25
5,2010-2분기,한국은행 기준금리,2
6,2010-2분기,정부대출금금리,2.28
7,2010-2분기,자금조정 대출금리,3
8,2010-2분기,자금조정 예금금리,1
9,2010-2분기,총액한도대출금리,1.25
10,2010-3분기,한국은행 기준금리,2.25
11,2010-3분기,정부대출금금리,2.24
12,2010-3분기,자금조정 대출금리,3.25
13,2010-3분기,자금조정 예금금리,1.25
14,2010-3분기,총액한도대출금리,1.25
15,2010-4분기,한국은행 기준금리,2.5
16,2010-4분기,정부대출금금리,2.6
17,2010-4분기,자금조정 대출금리,3.5
18,2010-4분기,자금조정 예금금리,1.5
19,2010-4분기,총액한도대출금리,1.25
20,2011-1분기,한국은행 기준금리,3
21,2011-1분기,정부대출금금리,2.76
22,2011-1분기,자금조정 대출금리,4
23,2011-1분기,자금조정 예금금리,2
24,2011-1분기,총액한도대출금리,1.5
25,2011-2분기,한국은행 기준금리,3.25
26,2011-2분기,정부대출금금리,3.36
27,2011-2분기,자금조정 대출금리,4.25
28,2011-2분기,자금조정 예금금리,2.25
29,2011-2분기,총액한도대출금리,1.5
30,2011-3분기,한국은행 기준금리,3.25
31,2011-3분기,정부대출금금리,3.44
32,2011-3분기,자금조정 대출금리,4.25
33,2011-3분기,자금조정 예금금리,2.25
34,2011-3분기,총액한도대출금리,1.5
35,2011-4분기,한국은행 기준금리,3.25
36,2011-4분기,정부대출금금리,3.4
37,2011-4분기,자금조정 대출금리,4.25
38,2011-4분기,자금조정 예금금리,2.25
39,2011-4분기,총액한도대출금리,1.5
40,2012-1분기,한국은행 기준금리,3.25
41,2012-1분기,정부대출금금리,3.57
42,2012-1분기,자금조정 대출금리,4.25
43,2012-1분기,자금조정 예금금리,2.25
44,2012-1분기,총액한도대출금리,1.5
45,2012-2분기,한국은행 기준금리,3.25
46,2012-2분기,정부대출금금리,3.58
47,2012-2분기,자금조정 대출금리,4.25
48,2012-2분기,자금조정 예금금리,2.25
49,2012-2분기,총액한도대출금리,1.5
50,2012-3분기,한국은행 기준금리,3
51,2012-3분기,정부대출금금리,3.39
52,2012-3분기,자금조정 대출금리,4
53,2012-3분기,자금조정 예금금리,2
54,2012-3분기,총액한도대출금리,1.5
55,2012-4분기,한국은행 기준금리,2.75
56,2012-4분기,정부대출금금리,2.96
57,2012-4분기,자금조정 대출금리,3.75
58,2012-4분기,자금조정 예금금리,1.75
59,2012-4분기,총액한도대출금리,1.25
60,2013-1분기,한국은행 기준금리,2.75
61,2013-1분기,정부대출금금리,2.89
62,2013-1분기,자금조정 대출금리,3.75
63,2013-1분기,자금조정 예금금리,1.75
64,2013-1분기,결제자금지원한도 대출금리,1.25
65,2013-1분기,무역금융지원 프로그램대출금리,1.25
66,2013-1분기,총액한도대출금리,1.25
67,2013-2분기,한국은행 기준금리,2.5
68,2013-2분기,정부대출금금리,2.7
69,2013-2분기,자금조정 대출금리,3.5
70,2013-2분기,자금조정 예금금리,1.5
71,2013-2분기,결제자금지원한도 대출금리,1.25
72,2013-2분기,무역금융지원 프로그램대출금리,1
73,2013-2분기,신성장·일자리지원 프로그램대출금리,0.5
