dealYear,dealMonth,dealDay,dealAmount,offiNm,excluUseAr,floor,umdNm
2024,3,27,14500,대보마로니에텔,26.52,9,연건동
2024,3,26,16600,반도 보라 아이비 타워,32.22,9,효제동
2024,3,21,39000,르메이에르종로타운1,43.43,10,종로1가
2024,3,28,30210,종로5가역 하이뷰더광장,18.97,5,종로5가
2024,3,28,31220,종로5가역 하이뷰더광장,18.97,13,종로5가
2024,3,28,29700,종로5가역 하이뷰더광장,18.97,3,종로5가
2024,3,22,63000,경희궁의 아침 3단지,63.1,12,내수동
2024,3,25,43000,르메이에르종로타운1,56.64,8,종로1가
2024,3,20,30000,르메이에르종로타운1,36.23,17,종로1가
2024,3,28,25300,종로1가 대성스카이렉스,32.76,5,견지동
2024,3,30,23500,한라 운종가,21.14,7,숭인동
2024,3,28,34000,경희궁의 아침 4단지,41.74,14,내수동
2024,3,7,42000,르메이에르종로타운1,45.41,19,종로1가
2024,3,20,22900,용비어천가,30.76,5,내수동
2024,3,22,64000,경희궁의 아침 3단지,63.1,12,내수동
2024,3,8,11000,수석컴비즈텔,30.12,7,숭인동
2024,3,3,85000,디팰리스,43.142,3,신문로2가
2024,3,24,22700,경희궁의 아침 4단지,28.24,4,내수동
2024,3,14,35000,용비어천가,45.98,10,내수동
2024,3,19,31221,종로1가 대성스카이렉스,40.45,11,견지동
2024,3,5,20200,루비온오피스텔,18.2,2,인의동
2024,3,5,17400,파크뷰타워,24.3,2,필운동
2024,3,20,20500,신일 해피트리앤,19.3434,2,관수동
2024,3,9,33500,신일 해피트리앤,26.7789,9,관수동
2024,3,8,30500,두산위브파빌리온,35.22,12,수송동
2024,3,13,13500,엘리시앙오피스텔,30.36,13,숭인동
2024,3,16,17800,종로대우디오빌,29.65,5,숭인동
2024,3,13,29000,용비어천가,41.34,3,내수동
2024,3,16,49700,운현궁 에스케이 허브,56.03,7,경운동
2024,3,18,12370,동양파라빌,27.09,7,숭인동
2024,3,12,30150,경희궁의 아침 2단지,32.43,15,내수동
2024,3,16,32000,경희궁의 아침 3단지,37.5,9,내수동
2024,3,13,31700,광화문 플래티넘,51.24,7,적선동
2024,3,13,33800,광화문 플래티넘,51.24,7,적선동
2024,3,13,31600,광화문 플래티넘,51.24,7,적선동
2024,3,13,31700,광화문 플래티넘,51.24,7,적선동
2024,3,6,33000,신일 해피트리앤,26.7789,10,관수동
2024,3,4,25500,종로 하이뷰 디아트,18.16,9,관수동
2024,3,4,11000,삼전솔하임2차,21.12,3,숭인동
2024,3,2,26800,용비어천가,37.56,11,내수동
